Title,Price,Price_in_PKR,Area,Area_in_Sqft,City,Sub_Location,Location,Full_Location,Bedrooms,Bathrooms,Property_Type,Built_Year,Parking_Spaces,Servant_Quarters,Store_Rooms,Kitchens,Drawing_Rooms,Dining_Rooms,Study_Rooms,Prayer_Rooms,Powder_Rooms,Lounge_or_Sitting_Rooms,Laundry_Rooms,Floors,Furnished,URL
"Beautiful 1 Kanal Fully Furnished House Available for Sale in Sector A DHA Peshawar DHA Phase 1 - Sector A, DHA Phase 1, DHA Defence, Peshawar ID54252848 - Zameen.com",PKR 11 Crore,110000000,1 Kanal,5445.0,Peshawar,DHA Phase 1 - Sector A,"DHA Phase 1 - Sector A, DHA Phase 1, DHA Defence, Peshawar","DHA Phase 1 - Sector A, DHA Phase 1, DHA Defence, Peshawar",,,House,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_a_beautiful_1_kanal_fully_furnished_house_available_for_sale_in_sector_a_dha_peshawar-54252848-12292-1.html
"Prime 7 Marla House For Sale In Hayatabad Perfectly Located Near CECOS University Hayatabad Phase 6 - F6, Hayatabad Phase 6, Hayatabad, Peshawar ID54209248 - Zameen.com",PKR 5.9 Crore,59000000,7 Marla,1905.75,Peshawar,Hayatabad Phase 6 - F6,"Hayatabad Phase 6 - F6, Hayatabad Phase 6, Hayatabad, Peshawar","Hayatabad Phase 6 - F6, Hayatabad Phase 6, Hayatabad, Peshawar",8,7,House,2026,2,1,1,3,1,1,1,1,1,1,1,1,1,https://www.zameen.com/Property/hayatabad_phase_6_hayatabad_phase_6_-_f6_prime_7_marla_house_for_sale_in_hayatabad_perfectly_located_near_cecos_university-54209248-7632-1.html
"10 Marla Beautiful House Self Construction Hayatabad Phase 4, Hayatabad, Peshawar ID53371876 - Zameen.com",PKR 7.65 Crore,76500000,10 Marla,2722.5,Peshawar,Hayatabad Phase 4,"Hayatabad Phase 4, Hayatabad, Peshawar","Hayatabad Phase 4, Hayatabad, Peshawar",10,,House,2019,1,1,1,2,1,1,1,1,1,1,1,3,1,https://www.zameen.com/Property/hayatabad_hayatabad_phase_4_10_marla_beautiful_house_self_construction-53371876-7625-1.html
"Premium 4-Bed Family Apartment In Askari 6 Phase 3, Nasir Bagh Road Direct Deal With Owner Askari 6, Peshawar ID53771688 - Zameen.com",PKR 2.85 Crore,28500000,13.1 Marla,3566.47,Peshawar,Askari 6,"Askari 6, Peshawar","Askari 6, Peshawar",4,5,House,2022,1,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/peshawar_askari_6_premium_4-bed_family_apartment_in_askari_6_phase_3_nasir_bagh_road_direct_deal_with_owner-53771688-9275-1.html
"Sector D2 | House For Sale | Walking Distance Market, Masjid & Park Regi Model Town Phase 3, Regi Model Town, Peshawar ID54245304 - Zameen.com",PKR 2.69 Crore,26900000,5 Marla,1361.25,Peshawar,Regi Model Town Phase 3,"Regi Model Town Phase 3, Regi Model Town, Peshawar","Regi Model Town Phase 3, Regi Model Town, Peshawar",8,6,House,2025,2,0,1,2,1,1,0,0,1,1,1,3,0,https://www.zameen.com/Property/regi_model_town_regi_model_town_phase_3_sector_d2_house_for_sale_walking_distance_market_masjid_park-54245304-17013-1.html
"Prime Location A Centrally Located House Is Available For Sale In Peshawar Sufiyan Garden, Warsak Road, Peshawar ID53927014 - Zameen.com",PKR 3.2 Crore,32000000,7 Marla,1905.75,Peshawar,Sufiyan Garden,"Sufiyan Garden, Warsak Road, Peshawar","Sufiyan Garden, Warsak Road, Peshawar",7,,House,2025,2,1,0,1,1,1,1,1,1,1,0,2,0,https://www.zameen.com/Property/warsak_road_sufiyan_garden_prime_location_a_centrally_located_house_is_available_for_sale_in_peshawar-53927014-19313-1.html
"Dha Phase Sector Prism 5 Marla Ready To Move House DHA Defence - Sector Prism, DHA Defence, Peshawar ID53653222 - Zameen.com",PKR 2.65 Crore,26500000,5 Marla,1361.25,Peshawar,DHA Defence - Sector Prism,"DHA Defence - Sector Prism, DHA Defence, Peshawar","DHA Defence - Sector Prism, DHA Defence, Peshawar",7,6,House,2018,2,1,1,1,1,1,1,1,1,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_-_sector_prism_dha_phase_sector_prism_5_marla_ready_to_move_house-53653222-19286-1.html
"Ideal Prime Location 5 Marla House has landed on market in Arbab Sabz Ali Khan Town Executive Lodges, Peshawar Arbab Sabz Ali Khan Town Executive Lodges, Arbab Sabz Ali Khan Town, Warsak Road, Peshawar ID54247887 - Zameen.com",PKR 2.3 Crore,23000000,5 Marla,1361.25,Peshawar,Arbab Sabz Ali Khan Town Executive Lodges,"Arbab Sabz Ali Khan Town Executive Lodges, Arbab Sabz Ali Khan Town, Warsak Road, Peshawar","Arbab Sabz Ali Khan Town Executive Lodges, Arbab Sabz Ali Khan Town, Warsak Road, Peshawar",5,5,House,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_ideal_prime_location_5_marla_house_has_landed_on_market_in_arbab_sabz_ali_khan_town_executive_lodges_peshawar-54247887-10382-1.html
"Ideal Location Kanal House | Walking distance Central Park Masjid & Market | 15 Kv Solar system Regi Model Town Phase 3 - Block B2, Regi Model Town Phase 3, Regi Model Town, Peshawar ID53780191 - Zameen.com",PKR 7.99 Crore,79900000,1 Kanal,5445.0,Peshawar,Regi Model Town Phase 3 - Block B2,"Regi Model Town Phase 3 - Block B2, Regi Model Town Phase 3, Regi Model Town, Peshawar","Regi Model Town Phase 3 - Block B2, Regi Model Town Phase 3, Regi Model Town, Peshawar",10,6,House,2024,4,1,1,3,1,1,1,1,1,1,1,3,0,https://www.zameen.com/Property/regi_model_town_phase_3_regi_model_town_phase_3_-_block_b2_ideal_location_kanal_house_walking_distance_central_park_masjid_market_15_kv_solar_system-53780191-17019-1.html
"A Corner Flat with 3 Stunning Vistas Regency Heights, Danishabad, Peshawar ID53589986 - Zameen.com",PKR 81 Lakh,8100000,4.2 Marla,1143.45,Peshawar,Regency Heights,"Regency Heights, Danishabad, Peshawar","Regency Heights, Danishabad, Peshawar",2,2,Flat,2030,1,0,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/danishabad_regency_heights_a_corner_flat_with_3_stunning_vistas-53589986-22451-1.html
"Qasr E Memaar | Studio Apartment For Sale On Nasir Bagh Road Peshawar Nasir Bagh Road, Peshawar ID54174059 - Zameen.com",PKR 34.85 Lakh,3485000,1.6 Marla,435.6,Peshawar,Nasir Bagh Road,"Nasir Bagh Road, Peshawar","Nasir Bagh Road, Peshawar",,1,Flat,2027,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/peshawar_nasir_bagh_road_qasr_e_memaar_studio_apartment_for_sale_on_nasir_bagh_road_peshawar-54174059-1029-1.html
"5 Marla Brand New House For Sell In DHA Prism DHA Defence - Sector Prism, DHA Defence, Peshawar ID53992584 - Zameen.com",PKR 3 Crore,30000000,5 Marla,1361.25,Peshawar,DHA Defence - Sector Prism,"DHA Defence - Sector Prism, DHA Defence, Peshawar","DHA Defence - Sector Prism, DHA Defence, Peshawar",7,6,House,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/dha_defence_dha_defence_-_sector_prism_5_marla_brand_new_house_for_sell_in_dha_prism-53992584-19286-1.html
"DHA Peshawar Sector Prism Plot No 504 (10 Marla) Fresh House Available For Sale Ready To Shift DHA Defence - Sector Prism, DHA Defence, Peshawar ID54142650 - Zameen.com",PKR 5 Crore,50000000,10 Marla,2722.5,Peshawar,DHA Defence - Sector Prism,"DHA Defence - Sector Prism, DHA Defence, Peshawar","DHA Defence - Sector Prism, DHA Defence, Peshawar",5,5,House,2023,2,1,1,1,1,1,1,1,1,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_-_sector_prism_dha_peshawar_sector_prism_plot_no_504_10_marla_fresh_house_available_for_sale_ready_to_shift-54142650-19286-1.html
"DHA Peshawar 10 Marla Fresh House Available In Sector Prism Top Location And Fresh Construction DHA Defence - Sector Prism, DHA Defence, Peshawar ID54240989 - Zameen.com",PKR 4.85 Crore,48500000,10 Marla,2722.5,Peshawar,DHA Defence - Sector Prism,"DHA Defence - Sector Prism, DHA Defence, Peshawar","DHA Defence - Sector Prism, DHA Defence, Peshawar",9,6,House,2028,1,1,1,1,1,1,1,1,0,1,1,,1,https://www.zameen.com/Property/dha_defence_dha_defence_-_sector_prism_dha_peshawar_10_marla_fresh_house_available_in_sector_prism_top_location_and_fresh_construction-54240989-19286-1.html
"1 kanal House For Sell In hayatabad ph 4 Peshawar Hayatabad Phase 4, Hayatabad, Peshawar ID54171697 - Zameen.com",PKR 7.2 Crore,72000000,1 Kanal,5445.0,Peshawar,Hayatabad Phase 4,"Hayatabad Phase 4, Hayatabad, Peshawar","Hayatabad Phase 4, Hayatabad, Peshawar",8,7,House,,0,0,0,0,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/hayatabad_hayatabad_phase_4_1_kanal_house_for_sell_in_hayatabad_ph_4_peshawar-54171697-7625-1.html
"2 Bed Fully Furnished Flat for Sale at Town Residency University Town Peshawar University Town, Peshawar ID54215387 - Zameen.com",PKR 1.55 Crore,15500000,5.8 Marla,1579.05,Peshawar,University Town,"University Town, Peshawar","University Town, Peshawar",2,2,Flat,2024,1,0,0,1,1,0,0,0,0,1,1,,1,https://www.zameen.com/Property/peshawar_university_town_2_bed_fully_furnished_flat_for_sale_at_town_residency_university_town_peshawar-54215387-1437-1.html
"A Prime Location 12 Marla House Has Landed On Market In Darmangi Of Peshawar Darmangi, Warsak Road, Peshawar ID53866238 - Zameen.com",PKR 3.5 Crore,35000000,12 Marla,3267.0,Peshawar,Darmangi,"Darmangi, Warsak Road, Peshawar","Darmangi, Warsak Road, Peshawar",6,6,House,2025,1,1,0,2,1,1,0,0,0,1,1,2,0,https://www.zameen.com/Property/warsak_road_darmangi_a_prime_location_12_marla_house_has_landed_on_market_in_darmangi_of_peshawar-53866238-12422-1.html
"Luxury Designer SU House | South Corner | Askari 6 Phase 2 Askari 6, Peshawar ID54237371 - Zameen.com",PKR 8.5 Crore,85000000,1 Kanal,5445.0,Peshawar,Askari 6,"Askari 6, Peshawar","Askari 6, Peshawar",5,5,House,2023,3,1,1,1,1,1,0,0,1,1,1,2,0,https://www.zameen.com/Property/peshawar_askari_6_luxury_designer_su_house_south_corner_askari_6_phase_2-54237371-9275-1.html
"1 Kanal House For Sale In Sector C At DHA Peshawar DHA Phase 1 - Sector C, DHA Phase 1, DHA Defence, Peshawar ID54230911 - Zameen.com",PKR 11 Crore,110000000,1 Kanal,5445.0,Peshawar,DHA Phase 1 - Sector C,"DHA Phase 1 - Sector C, DHA Phase 1, DHA Defence, Peshawar","DHA Phase 1 - Sector C, DHA Phase 1, DHA Defence, Peshawar",11,7,House,1,1,0,0,0,0,0,0,0,0,0,0,3,1,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_c_1_kanal_house_for_sale_in_sector_c_at_dha_peshawar-54230911-12294-1.html
"Prime Location 7 Marla House In Wapda Town Sector A For sale Wapda Town Sector A, Wapda Town, Peshawar ID54208456 - Zameen.com",PKR 2.3 Crore,23000000,7 Marla,1905.75,Peshawar,Wapda Town Sector A,"Wapda Town Sector A, Wapda Town, Peshawar","Wapda Town Sector A, Wapda Town, Peshawar",6,6,House,2026,2,0,2,2,1,1,0,0,0,0,1,2,0,https://www.zameen.com/Property/wapda_town_wapda_town_sector_a_prime_location_7_marla_house_in_wapda_town_sector_a_for_sale-54208456-14714-1.html
"5 Marla Good Condition South Open House For Sale In Hayatabad Phase 1 Sector D4 Hayatabad Phase 1 - D4, Hayatabad Phase 1, Hayatabad, Peshawar ID54207764 - Zameen.com",PKR 2.5 Crore,25000000,5 Marla,1361.25,Peshawar,Hayatabad Phase 1 - D4,"Hayatabad Phase 1 - D4, Hayatabad Phase 1, Hayatabad, Peshawar","Hayatabad Phase 1 - D4, Hayatabad Phase 1, Hayatabad, Peshawar",6,6,House,2020,1,0,1,2,1,1,1,1,1,1,1,2,0,https://www.zameen.com/Property/hayatabad_phase_1_hayatabad_phase_1_-_d4_5_marla_good_condition_south_open_house_for_sale_in_hayatabad_phase_1_sector_d4-54207764-15037-1.html
"Qasr E Memaar | 2 Bed Apartment For Sale On Nasir Bagh Road Peshawar Nasir Bagh Road, Peshawar ID54184862 - Zameen.com",PKR 39.71 Lakh,3971000,1.9 Marla,517.27,Peshawar,Nasir Bagh Road,"Nasir Bagh Road, Peshawar","Nasir Bagh Road, Peshawar",1,1,Flat,2027,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/peshawar_nasir_bagh_road_qasr_e_memaar_2_bed_apartment_for_sale_on_nasir_bagh_road_peshawar-54184862-1029-1.html
"Beautiful North Open House For Sale In Hayatabad Phase 3 K6 Near Basharat Market Phase 3 Hayatabad Hayatabad Phase 3, Hayatabad, Peshawar ID53904599 - Zameen.com",PKR 3.3 Crore,33000000,5 Marla,1361.25,Peshawar,Hayatabad Phase 3,"Hayatabad Phase 3, Hayatabad, Peshawar","Hayatabad Phase 3, Hayatabad, Peshawar",6,6,House,2018,2,1,0,2,1,0,0,0,0,0,0,,0,https://www.zameen.com/Property/hayatabad_hayatabad_phase_3_beautiful_north_open_house_for_sale_in_hayatabad_phase_3_k6_near_basharat_market_phase_3_hayatabad-53904599-7617-1.html
"*Askari phase 2-(4 bed apartment) for sale on 5th floor* South open Askari 6, Peshawar ID54174618 - Zameen.com",PKR 3.5 Crore,35000000,14.4 Marla,3920.4,Peshawar,Askari 6,"Askari 6, Peshawar","Askari 6, Peshawar",4,4,Flat,1,2,1,0,1,1,0,0,0,1,1,1,,0,https://www.zameen.com/Property/peshawar_askari_6_askari_phase_2-_4_bed_apartment_for_sale_on_5th_floor_south_open-54174618-9275-1.html
"3.5 Marla New House Beautiful House Available For In Sudais Villa Sudais Villas, Warsak Road, Peshawar ID54191683 - Zameen.com",PKR 1.5 Crore,15000000,3.5 Marla,952.88,Peshawar,Sudais Villas,"Sudais Villas, Warsak Road, Peshawar","Sudais Villas, Warsak Road, Peshawar",5,5,House,2026,1,0,0,2,1,1,1,0,1,0,0,,0,https://www.zameen.com/Property/warsak_road_sudais_villas_3_5_marla_new_house_beautiful_house_available_for_in_sudais_villa-54191683-18406-1.html
"5 Marla Brand New House For Sale In RMT zone 4 South open vip location Regi Model Town, Peshawar ID54246761 - Zameen.com",PKR 2.8 Crore,28000000,5 Marla,1361.25,Peshawar,Regi Model Town,"Regi Model Town, Peshawar","Regi Model Town, Peshawar",8,,House,,0,0,0,2,1,1,0,0,0,0,0,,0,https://www.zameen.com/Property/peshawar_regi_model_town_5_marla_brand_new_house_for_sale_in_rmt_zone_4_south_open_vip_location-54246761-7660-1.html
"Prime Hights 3 Bed Flat 1285sqrft 3 Bed Fully Loaded Furnished 3rd Floor Prime Town Apartments, University Town, Peshawar ID54080134 - Zameen.com",PKR 1.75 Crore,17500000,5.6 Marla,1524.6,Peshawar,Prime Town,"Prime Town, University Town, Peshawar","Prime Town, University Town, Peshawar",3,3,Flat,,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/university_town_prime_town_apartments_prime_hights_3_bed_flat_1285sqrft_3_bed_fully_loaded_furnished_3rd_floor-54080134-9851-1.html
"1 Kanal Luxury House For Sale DHA Defence, Peshawar ID53327069 - Zameen.com",PKR 10 Crore,100000000,1 Kanal,5445.0,Peshawar,DHA Defence,"DHA Defence, Peshawar","DHA Defence, Peshawar",8,7,House,,1,0,0,2,1,1,0,0,0,1,0,2,0,https://www.zameen.com/Property/peshawar_dha_defence_1_kanal_luxury_house_for_sale-53327069-9050-1.html
"Qasr e Memaar | 1 Bed Apartment for Sale on Nasir Bagh Road Peshawar Nasir Bagh Road, Peshawar ID54174426 - Zameen.com",PKR 39.71 Lakh,3971000,1.9 Marla,517.27,Peshawar,Nasir Bagh Road,"Nasir Bagh Road, Peshawar","Nasir Bagh Road, Peshawar",1,1,Flat,2027,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/peshawar_nasir_bagh_road_qasr_e_memaar_1_bed_apartment_for_sale_on_nasir_bagh_road_peshawar-54174426-1029-1.html
"Qasr E Memaar | 1 Bed Apartment For Sale On Nasir Bagh Road Peshawar Nasir Bagh Road, Peshawar ID54169568 - Zameen.com",PKR 39.71 Lakh,3971000,1.9 Marla,517.27,Peshawar,Nasir Bagh Road,"Nasir Bagh Road, Peshawar","Nasir Bagh Road, Peshawar",1,1,Flat,2027,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/peshawar_nasir_bagh_road_qasr_e_memaar_1_bed_apartment_for_sale_on_nasir_bagh_road_peshawar-54169568-1029-1.html
"Qasr e Memaar | 3 Bed Apartment for Sale on Nasir Bagh Road Peshawar Nasir Bagh Road, Peshawar ID54174709 - Zameen.com",PKR 90.59 Lakh,9059000,4.6 Marla,1252.35,Peshawar,Nasir Bagh Road,"Nasir Bagh Road, Peshawar","Nasir Bagh Road, Peshawar",3,3,Flat,2027,1,1,1,1,1,1,1,1,1,1,1,,1,https://www.zameen.com/Property/peshawar_nasir_bagh_road_qasr_e_memaar_3_bed_apartment_for_sale_on_nasir_bagh_road_peshawar-54174709-1029-1.html
"Prime Location Flat Of 1051 Square Feet Is Available For sale In REGENCY HEIGHTS Regency Heights, Danishabad, Peshawar ID53587032 - Zameen.com",PKR 90 Lakh,9000000,4.7 Marla,1279.58,Peshawar,Regency Heights,"Regency Heights, Danishabad, Peshawar","Regency Heights, Danishabad, Peshawar",2,2,Flat,,0,0,0,1,0,0,0,0,0,0,0,,0,https://www.zameen.com/Property/danishabad_regency_heights_prime_location_flat_of_1051_square_feet_is_available_for_sale_in_regency_heights-53587032-22451-1.html
"10 Marla Luxury Brand New House For Sale In RMT Zone 3 Regi Model Town Phase 3, Regi Model Town, Peshawar ID53591319 - Zameen.com",PKR 4.8 Crore,48000000,10 Marla,2722.5,Peshawar,Regi Model Town Phase 3,"Regi Model Town Phase 3, Regi Model Town, Peshawar","Regi Model Town Phase 3, Regi Model Town, Peshawar",10,,House,2025,2,1,1,3,1,1,1,1,1,1,1,3,1,https://www.zameen.com/Property/regi_model_town_regi_model_town_phase_3_10_marla_luxury_brand_new_house_for_sale_in_rmt_zone_3-53591319-17013-1.html
